x;y;z;current-flux-density-magnitude;
0.016188668;-0.0045792083;0.00038195471;7718.3174;
0.015851334;-0.0045793988;0.00038195471;7729.3843;
0.01551399;-0.0045795902;0.00038195471;7730.0737;
0.015176669;-0.004579775;0.00038195471;7733.3823;
0.014164629;-0.0045802752;0.00038195471;7822.6899;
0.014839413;-0.0045799473;0.00038195471;7741.9795;
0.014164635;-0.0042843614;0.00038195471;7842.7349;
0.014502216;-0.0045801122;0.00038195471;7777.9497;
0.014164641;-0.0039884299;0.00038195471;7861.2017;
0.014502235;-0.0042841993;0.00038195471;7773.5645;
0.014502253;-0.0039882697;0.00038195471;7810.2305;
0.023268856;-0.0039836732;0.00038195471;7711.9277;
0.014502272;-0.0036923231;0.00038195471;7844.0625;
0.01483947;-0.0039881058;0.00038195471;7749.5718;
0.022931818;-0.0039838515;0.00038195471;7714.4268;
0.023269005;-0.003687914;0.00038195471;7754.124;
0.023605898;-0.0039834948;0.00038195471;7706.4004;
0.014164689;-0.0019163715;0.00038195471;7875.894;
0.014502419;-0.0016201589;0.00038195471;7772.248;
0.014839503;-0.003692162;0.00038195471;7803.1831;
0.015176708;-0.0039879377;0.00038195471;7725.644;
0.022594776;-0.0039840303;0.00038195471;7712.7271;
0.022931974;-0.0036880844;0.00038195471;7758.0254;
0.023606036;-0.0036877438;0.00038195471;7753.7964;
0.023942942;-0.003983316;0.00038195471;7697.8296;
0.014164683;-0.0022124399;0.00038195471;7846.8037;
0.014502401;-0.0019162395;0.00038195471;7804.5757;
0.01483975;-0.001620034;0.00038195471;7698.042;
0.014164668;-0.002804517;0.00038195471;7774.3999;
0.014502309;-0.0031003775;0.00038195471;7718.0938;
0.014839534;-0.0033962019;0.00038195471;7717.1191;
0.015176754;-0.0036919969;0.00038195471;7800.4424;
0.015513982;-0.0039877691;0.00038195471;7715.3579;
0.022257732;-0.0039842087;0.00038195471;7711.1768;
0.02259494;-0.0036882549;0.00038195471;7760.9365;
0.02394307;-0.0036875731;0.00038195471;7750.6704;
