Temperature;Voltage;Mass_flow_Anode;Mass_flow_Cathode;H2_Anode_IN;O2_Anode_IN;H2O_Anode_IN;H2_Anode_OUT;O2_Anode_OUT;H2O_Anode_OUT;H2_Cathode_IN;O2_Cathode_IN;H2O_Cathode_IN;H2_Cathode_OUT;O2_Cathode_OUT;H2O_Cathode_OUT
30;1,1;1,00E-07;1,40E-06;0,45;0;0,1;0,2;0;0,1;0;0,2;0,1;0;0,2;0,1
30;1;1,00E-07;1,40E-06;0,45;0;0,1;0,2;0;0,1;0;0,2;0,1;0;0,2;0,1
30;0,9;1,00E-07;1,40E-06;0,45;0;0,1;0,2;0;0,1;0;0,2;0,1;0;0,2;0,1
30;0,8;1,00E-07;1,40E-06;0,45;0;0,1;0,2;0;0,1;0;0,2;0,1;0;0,2;0,1
30;0,7;1,00E-07;1,40E-06;0,45;0;0,1;0,2;0;0,1;0;0,2;0,1;0;0,2;0,1
30;0,6;1,00E-07;1,40E-06;0,45;0;0,1;0,2;0;0,1;0;0,2;0,1;0;0,2;0,1
30;0,5;1,00E-07;1,40E-06;0,45;0;0,1;0,2;0;0,1;0;0,2;0,1;0;0,2;0,1
30;0,4;1,00E-07;1,40E-06;0,45;0;0,1;0,2;0;0,1;0;0,2;0,1;0;0,2;0,1
30;0,3;1,00E-07;1,40E-06;0,45;0;0,1;0,2;0;0,1;0;0,2;0,1;0;0,2;0,1
30;0,2;1,00E-07;1,40E-06;0,45;0;0,1;0,2;0;0,1;0;0,2;0,1;0;0,2;0,1
30;0,1;1,00E-07;1,40E-06;0,45;0;0,1;0,2;0;0,1;0;0,2;0,1;0;0,2;0,1
30;1,1;1,00E-07;1,40E-06;0,45;0;0,2;0,2;0;0,1;0;0,2;0,2;0;0,2;0,1
30;1;1,00E-07;1,40E-06;0,45;0;0,2;0,2;0;0,1;0;0,2;0,2;0;0,2;0,1
30;0,9;1,00E-07;1,40E-06;0,45;0;0,2;0,2;0;0,1;0;0,2;0,2;0;0,2;0,1
30;0,8;1,00E-07;1,40E-06;0,45;0;0,2;0,2;0;0,1;0;0,2;0,2;0;0,2;0,1
30;0,7;1,00E-07;1,40E-06;0,45;0;0,2;0,2;0;0,1;0;0,2;0,2;0;0,2;0,1
30;0,6;1,00E-07;1,40E-06;0,45;0;0,2;0,2;0;0,1;0;0,2;0,2;0;0,2;0,1
30;0,5;1,00E-07;1,40E-06;0,45;0;0,2;0,2;0;0,1;0;0,2;0,2;0;0,2;0,1
30;0,4;1,00E-07;1,40E-06;0,45;0;0,2;0,2;0;0,1;0;0,2;0,2;0;0,2;0,1
30;0,3;1,00E-07;1,40E-06;0,45;0;0,2;0,2;0;0,1;0;0,2;0,2;0;0,2;0,1
30;0,2;1,00E-07;1,40E-06;0,45;0;0,2;0,2;0;0,1;0;0,2;0,2;0;0,2;0,1
30;0,1;1,00E-07;1,40E-06;0,45;0;0,3;0,2;0;0,1;0;0,2;0,3;0;0,2;0,1
